6044,1
36314,1
41932,1
3194,1
35363,1
35405,1
39917,1
39868,1
52322,1
3022,1
41254,1
66166,1
49257,1
64607,1
41147,1
20995,1
36793,1
16189,1
2372,1
4917,1
376,1
8920,1
23324,1
42134,1
2120,1
3110,1
60380,1
65520,1
64089,1
53485,1
63544,1
33433,1
58121,1
30635,1
34521,1
17327,1
57394,1
32194,1
19533,1
6641,1
43515,1
40701,1
23851,1
31087,1
51743,1
38293,1
2178,1
12392,1
45047,1
54675,1
12838,1
16675,1
28388,1
6304,1
4526,1
16160,1
33871,1
26714,1
34297,1
36460,1
49751,1
66142,1
65248,1
4699,1
267,1
41343,1
22165,1
27347,1
18255,1
11972,1
42793,1
56651,1
831,1
31942,1
33189,1
50942,1
61410,1
16889,1
42702,0
66052,1
58651,1
44921,1
27699,1
53852,1
41491,1
18399,1
20378,1
13224,1
26328,1
62484,1
22346,1
66195,1
4372,1
13077,1
60638,1
651,1
54633,1
17252,1
62874,1
44399,1
55764,1
50751,1
23850,1
23422,1
35224,1
33680,1
63331,1
7362,1
22829,1
41021,1
12151,1
35487,1
10131,1
37017,1
7135,1
18945,1
6048,1
10383,1
21720,1
23335,1
22955,1
43876,1
28684,1
53163,1
59850,1
44387,1
9684,1
31353,1
15098,1
48672,1
61340,1
8982,1
50282,1
32389,1
33000,1
54074,1
29855,1
45406,1
1831,1
64940,1
8544,1
64426,1
10809,1
17274,1
64296,1
51287,1
53087,1
29778,1
36472,1
1798,1
3053,1
2102,1
63231,1
43963,1
61439,1
13287,1
51292,1
35338,1
15792,1
16231,1
53563,1
3293,1
22162,1
49467,1
22895,1
9404,1
2027,1
5529,1
63852,1
15578,1
60145,1
34567,1
60040,1
58203,1
20953,1
28552,1
1542,1
14146,1
42394,1
18765,1
37608,1
7965,1
45339,1
6636,1
43516,1
47850,1
65637,1
13947,1
60981,1
2932,1
21712,1
42323,1
29537,1
60240,1
28723,1
2084,1
15736,1
33075,1
59311,1
32563,1
11849,1
36021,1
874,1
1044,1
26734,1
38260,1
25231,1
29415,1
56723,1
8447,1
20505,1
19656,1
9223,1
5110,1
1554,1
25408,1
60031,1
49142,1
53787,1
64454,1
16236,1
18152,1
52171,1
20084,1
27588,1
8164,1
58956,1
39755,1
15089,1
34647,1
10460,1
8642,1
1562,1
55418,1
25384,1
53519,1
31066,1
50647,1
1160,1
43699,1
39091,1
54858,1
52592,1
22313,1
34502,1
20355,1
24441,1
2774,1
16143,1
18760,1
43193,1
12689,1
3335,1
10921,1
20895,1
13978,1
13958,1
20507,1
62092,1
13799,1
28200,1
54487,1
24793,1
52181,0
63129,1
22054,1
49655,1
9976,1
2931,1
54167,1
61868,1
18139,1
29476,1
37434,1
5155,1
56265,1
8924,1
52469,1
53274,1
24782,1
51803,1
35164,1
50786,1
880,1
24592,1
30932,1
16024,1
43505,1
47605,1
38467,1
9410,1
63827,1
54869,1
24674,1
2453,1
39562,1
9085,1
62329,1
33220,1
50052,1
51491,1
6104,1
54954,1
27460,1
48042,1
43684,1
21998,1
14690,1
23618,1
54857,1
28589,1
17650,1
52559,1
50422,1
17932,1
22205,1
34129,1
6818,1
19764,1
39466,1
14710,1
13834,1
13902,1
48562,1
36700,1
4934,1
28494,0
64571,1
22512,1
45323,1
2521,1
13786,1
29627,1
56218,1
17,1
60387,1
45972,1
33185,1
10702,1
49454,1
36602,1
14638,1
31075,1
12413,1
43743,1
52816,1
13322,1
3979,1
58166,1
62074,1
17226,1
12521,1
28701,1
163,1
30688,1
59923,1
29367,1
47910,1
22277,0
65335,1
37923,1
51328,1
64861,1
34036,1
43118,1
50390,1
7213,1
30605,1
49570,1
56172,1
9300,1
6588,1
32069,1
2796,1
28047,1
28920,1
30859,1
35383,1
63009,1
17162,1
42312,1
37226,1
51249,1
28213,1
64705,1
54505,1
55368,1
25116,1
54889,1
41371,1
2586,1
40876,1
46825,1
16358,1
28878,1
51896,1
43725,1
11594,1
6407,1
7812,1
17170,1
65385,1
4123,1
861,1
13538,1
17831,1
17046,1
42400,1
31368,1
9720,1
39396,1
57371,1
32119,1
50766,1
10959,1
22145,1
3958,1
21462,1
33768,1
22167,1
49115,1
6494,1
33093,1
36248,0
16515,1
1301,1
12138,1
7259,1
14225,1
13594,1
19061,1
19940,1
65654,1
60194,1
44745,1
62966,1
21546,1
57823,1
32613,1
47,1
13420,1
47210,1
41617,1
42334,1
11454,1
53578,1
53603,1
27190,1
24085,1
63684,1
3467,1
39855,1
65567,1
35044,1
37420,1
54349,1
58122,1
26366,1
30485,1
55296,1
5720,1
63011,1
30709,1
17195,1
28496,1
10309,1
17861,1
55887,1
20385,1
54105,1
30970,1
47338,1
61400,1
59434,1
56231,1
3676,1
49912,1
39426,1
1643,1
9545,1
18266,1
64127,1
28479,1
42497,1
15793,1
61604,1
46863,1
51794,1
36540,1
26474,1
23459,1
43776,1
29017,1
43874,1
24550,1
34809,1
54580,1
54010,1
61471,1
17042,1
15913,1
41665,1
26961,1
61585,1
23089,1
43914,1
30998,1
60761,1
64312,1
37919,1
43615,1
63406,1
14071,1
27134,1
28484,1
54199,1
44693,1
17013,1
9476,1
65543,1
19387,1
22704,1
32986,1
54295,1
33839,1
184,1
19176,1
13521,1
16137,1
42799,1
16924,1
7474,1
64519,1
63612,1
48594,1
48070,1
46535,1
6034,1
48427,1
37035,1
19619,1
53788,1
57683,1
57758,1
38725,1
47289,1
24406,1
60154,1
10215,1
3937,1
41972,1
2795,1
40918,1
51080,1
16092,1
5992,1
58705,1
50629,1
34919,1
22500,1
20357,1
29507,1
38426,1
5494,1
47147,1
40881,1
14868,1
8562,0
9237,1
57065,1
14421,1
23714,1
28,1
30151,1
33846,1
5245,1
23657,1
14928,1
17675,1
29745,1
14353,1
12116,1
65271,1
22800,1
43532,1
1144,1
57784,1
18442,1
27146,1
24332,1
54362,1
17693,1
16207,1
25140,1
16854,1
33539,1
40797,1
33730,1
18857,1
37210,1
44702,1
56336,1
42528,1
903,1
45487,1
53886,1
58781,1
42333,1
57427,1
22250,1
13764,1
41060,1
33732,1
37482,1
17409,1
35609,1
15622,1
9017,1
41212,1
15066,1
